SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_350_20,61075,209200,28793,67600,2521,69100,3044,26000,3032,37400,
seq_350_21,61075,200700,31748,74000,2523,62300,2950,22000,2701,33400,
seq_350_22,61075,214700,32873,77900,2543,67100,3273,22400,2871,55400,
seq_350_23,61075,235800,30630,71400,2550,70900,3531,21100,3019,45600,
seq_350_24,61075,225200,29714,108100,2540,68800,3273,21700,3152,33400,
seq_350_25,61075,223600,28912,67700,2522,63800,3193,20700,2900,34400,
seq_350_26,61075,195100,31223,74500,2529,142700,2924,30300,2725,184000,
seq_350_27,61075,550900,31296,120100,2519,134000,3064,29900,2640,48100,
seq_350_28,61075,215800,30766,92400,2535,114200,3164,22900,2923,60800,
seq_350_29,61075,257500,28140,107000,2511,94400,3169,24000,2586,40000,
seq_350_30,61075,230400,31409,75200,2522,87000,2836,21200,2793,33800,
seq_350_31,61075,242100,30226,102300,2527,87800,2945,29600,2682,46300,
seq_350_32,61075,284600,28630,111300,2526,101100,3011,25800,3032,49300,
seq_350_33,61075,234900,30172,72000,2519,63900,3001,20800,2817,35600,
seq_350_34,61075,250200,30257,70500,2525,83800,3191,21300,2502,34100,
seq_350_35,61075,237000,31929,98200,2522,75200,2728,29900,2953,40300,
seq_350_36,61075,319000,32603,99500,2528,99600,2911,28200,3089,49000,
seq_350_37,61075,265500,29671,95100,2515,110500,3543,28600,2665,38400,
seq_350_38,61075,226700,29692,84600,2505,137100,2844,61900,2912,53400,
seq_350_39,61075,221000,32383,77800,2540,63500,2875,22300,3305,36500,
seq_350_40,61075,221200,32387,77700,2536,87200,3113,27300,2894,43300,
seq_350_41,61075,226100,30773,72900,2516,91900,3182,30300,2569,39300,
seq_350_42,61075,219900,30577,71500,2526,61500,2739,21500,2539,33100,
seq_350_43,61075,294400,31606,137800,2507,85900,2869,26600,2804,50800,
seq_350_44,61075,307000,30922,89800,2533,78800,2961,29200,2875,42200,
seq_350_45,61075,247000,28744,79200,2512,125200,3398,48800,2833,47800,
seq_350_46,61075,208100,29738,68600,2520,68200,3205,21400,3123,36200,
seq_350_47,61075,271000,31745,81300,2543,95800,3305,22600,2880,33900,
seq_350_48,61075,195300,31001,73000,2538,63500,3226,22100,2945,35900,
seq_350_49,61075,330600,32740,90700,2529,67500,3518,25700,3018,37100,
seq_350_50,61075,291400,29929,96900,2522,85500,3148,27600,2814,44000,
seq_350_51,61075,240600,31019,73500,2518,62400,3069,21400,3171,35500,
seq_350_52,61075,212400,31611,73700,2537,66900,3246,21600,2763,35800,
seq_350_53,61075,232500,31956,81500,2523,64400,2992,32400,3105,33700,
seq_350_54,61075,279100,30038,70500,2511,84300,3061,22200,2925,40700,
seq_350_55,61075,232000,29255,68200,2536,66300,2899,21500,2839,40700,
seq_350_56,61075,291700,32457,93900,2539,85300,3069,26800,2918,53400,
seq_350_57,61075,313300,30254,162800,2521,120100,3112,28000,2910,46400,
seq_350_58,61075,288400,33675,79300,2540,74800,2835,21500,2893,35600,
seq_350_59,61075,318600,30319,117400,2529,95500,3542,31200,2675,47300,
seq_350_60,61075,266200,30953,75000,2520,95000,3090,21800,2962,38100,
seq_350_61,61075,187800,30800,88900,2523,79200,3081,21400,2595,49400,
seq_350_62,61075,221400,29777,69900,2505,74600,3006,21200,2681,34000,
seq_350_63,61075,241600,30768,72400,2534,66000,4079,24600,2825,34500,
seq_350_64,61075,224700,31469,122500,2529,121200,3161,27700,2738,39800,
seq_350_65,61075,290400,30149,101400,2533,86200,2879,32600,2790,59100,
seq_350_66,61075,232200,30991,127400,2522,62700,3274,21000,2576,34600,
seq_350_67,61075,185700,31322,73200,2538,63300,3093,20300,2975,33100,
seq_350_68,61075,250900,30803,109100,2513,80800,3057,21200,2848,36900,
